scenario,injected_offset_ms,sample_count,true_cam_to_imu_ms,target_cam_to_imu_ms,initial_estimated_cam_to_imu_ms,final_estimated_cam_to_imu_ms,final_calibration_residual_ms,tail_calibration_rmse_ms,estimated_timestamp_correction_ms,correction_error_ms,converged_within_run,convergence_time_s,nominal_clock_rmse_m,nominal_clock_max_m,nominal_clock_rmse_ratio,calibration_aware_rmse_m,calibration_aware_max_m,calibration_aware_rmse_ratio,physical_time_rmse_m,physical_time_max_m
baseline,0,2921,0,0,0,-0.00413838456686,-0.00413838456686,0.00660053064065,0.00413838456686,0.00413838456686,True,0.499999523163,0.0454106442716,0.107145187588,1,0.0454115107474,0.107149449358,1,0.0454106442716,0.107145187588
neg-50ms,-50,2921,0,50,0,49.9899644083,-0.0100355917359,0.0127363982381,-49.9899644083,0.0100355917359,True,1.99999809265,0.242167886007,0.487362269228,5.33284409177,0.236078860431,0.442850484284,5.19865682833,0.23608161643,0.442843642198
neg-20ms,-20,2921,0,20,0,19.9945754544,-0.00542454560411,0.00801542179767,-19.9945754544,0.00542454560411,True,0.499999523163,0.0715816979255,0.147529270497,1.57631980505,0.0683863387927,0.126651053614,1.50592520855,0.0683890210646,0.126645850104
neg-10ms,-10,2921,0,10,0,9.9948414239,-0.00515857610492,0.00793434450921,-9.9948414239,0.00515857610492,True,0.599999427795,0.0336747390766,0.0748265856658,0.741560478095,0.032614702151,0.0678270445581,0.718203416144,0.032616027195,0.0678220374766
neg-5ms,-5,2921,0,5,0,4.99591688467,-0.00408311533033,0.00672875109073,-4.99591688467,0.00408311533033,True,0.599999427795,0.0528313033372,0.116993143031,1.16341232732,0.052267650768,0.112166765145,1.15097802094,0.0522665472743,0.112159702414
pos-5ms,5,2921,0,-5,0,-5.00436758978,-0.00436758977827,0.0069092208063,5.00436758978,0.00436758977827,True,0.499999523163,0.0509329116853,0.0985617580986,1.12160733463,0.0506106861912,0.0998208745999,1.11449025496,0.0506104490282,0.0998168177106
pos-10ms,10,2921,0,-10,0,-10.0060092676,-0.00600926763214,0.00853906417501,10.0060092676,0.00600926763214,True,0.499999523163,0.0489360010147,0.123316646779,1.07763282815,0.0479668990209,0.117288791413,1.05627181812,0.0479672031044,0.117281987714
pos-20ms,20,2921,0,-20,0,-20.0074567127,-0.00745671269925,0.0101468336912,20.0074567127,0.00745671269925,True,0.39999961853,0.0755978972293,0.157717408716,1.66476160913,0.0729591941284,0.14217442225,1.60662336328,0.0729611062388,0.142183356731
pos-50ms,50,2921,0,-50,0,-50.0061289715,-0.00612897148188,0.00935324751591,50.0061289715,0.00612897148188,True,1.59999847412,0.326100123593,0.634105977997,7.18113844945,0.321499899852,0.608896390437,7.07970059927,0.32150479065,0.608890230193
