profile,dropout_fraction,supported_span_count,global_rmse_nondecreasing,profile_supported,supported_spans_ms,global_rmse_sequence_m,global_ratio_sequence,local_ratio_sequence,tracking_rmse_sequence_ms,early_warning_gap_count
linear-positive,0.0,3,True,True,"5.0,10.0,20.0","0.23792962719,1.05681123625,282.337374322","5.23951225548,23.2723242139,6217.42718807","5.69300238297,31.1291269583,11523.4061299","1.81274547856,3.82451563366,8.92849778017",0
linear-negative,0.0,3,True,True,"5.0,10.0,20.0","0.207335495859,45.4006665777,386.222200226","4.56579066834,999.780278521,8505.10285465","4.53276281366,1630.31999886,15899.5699342","1.83584797265,4.01381477818,8.9179963116",0
sinusoidal-slow,0.0,3,True,True,"5.0,10.0,20.0","0.202299667228,0.496789140644,126.538418785","4.45489533286,10.9399271605,2786.53652276","4.55296121841,10.0107399937,5119.86559204","1.87958705846,3.96786986128,8.65184243785",1
piecewise-random-walk,0.0,3,True,True,"5.0,10.0,20.0","0.254424026723,239.473736262,284.318605923","5.60273985987,5273.51549627,6261.05642154","5.31816050028,9834.33807628,11509.2120815","1.96281566062,4.30528239725,9.45044141604",0
linear-positive,0.1,3,True,True,"5.0,10.0,20.0","0.228547546592,128.679768632,340.446166337","3.55142324723,1999.5678299,5290.2271216","6.1385208604,5590.94547591,14772.1297028","1.83836304218,4.05552191624,9.07954185707",0
linear-negative,0.1,3,True,True,"5.0,10.0,20.0","0.345896517369,132.00991048,374.87882731","5.3749206729,2051.31523804,5825.27969367","11.8411340603,5718.73367218,16268.587769","1.8461397796,4.08463019871,9.09045234158",0
sinusoidal-slow,0.1,3,True,True,"5.0,10.0,20.0","0.257629373948,0.518579898354,183.809079482","4.00332867908,8.05826504821,2856.22772005","6.33040803677,13.2492211739,7972.96919082","1.89162358364,4.01072649552,8.68296335912",1
piecewise-random-walk,0.1,3,True,True,"5.0,10.0,20.0","0.42437015479,229.505336856,257.200057502","6.5943303948,3566.30644619,3996.65748777","12.0520956556,10005.6042425,10988.9002242","1.96453965374,4.35020146808,9.53942851107",0
