scenario_id,profile,drift_span_ms,static_offset_ms,dropout_fraction,realized_dropout_fraction,position_rmse_m,position_mean_error_m,position_max_error_m,local_max_rmse_m,one_metre_availability,sustained_failure_onset_s,tracking_rmse_ms,tracking_peak_abs_ms,tracking_lag_s,tracking_lag_correlation,final_abs_residual_ms,minimum_injected_offset_ms,maximum_injected_offset_ms
static-neg10-drop00,static-control,0.0,-10.0,0.0,0.0,0.03261602719501927,0.028825560677310073,0.06782203747661002,0.06022274602397974,1.0,,0.3864781095287006,10.0,,,0.005158576104922347,-10.0,-10.0
static-zero-drop00,static-control,0.0,0.0,0.0,0.0,0.04541064427158661,0.03941590285884346,0.10714518758827477,0.1019899184138496,1.0,,0.08552103459363895,4.113101002433645,,,0.004138384566862698,0.0,0.0
static-pos10-drop00,static-control,0.0,10.0,0.0,0.0,0.047967203104422686,0.041047928179959454,0.11728198771351846,0.10900421426512093,1.0,,0.37439256964847323,10.0,,,0.006009267632138202,10.0,10.0
static-neg10-drop10,static-control,0.0,-10.0,0.1,0.09619993153029785,0.09868195899600413,0.09114270863647624,0.15483283543002904,0.14169943291882334,1.0,,0.41550466491361826,10.0,,,0.0076970290495692595,-10.0,-10.0
static-zero-drop10,static-control,0.0,0.0,0.1,0.09619993153029785,0.06435379020812297,0.058325513396344134,0.1163957587827072,0.09646870057551837,1.0,,0.163840052514089,8.134784675884086,,,0.0015990557026638714,0.0,0.0
static-pos10-drop10,static-control,0.0,10.0,0.1,0.09619993153029785,0.09502665446650993,0.08811135450429906,0.1681415137468706,0.14552906749670838,1.0,,0.37874796933287225,10.0,,,0.004284834755672803,10.0,10.0
linearpositive-span05-drop00,linear-positive,5.0,0.0,0.0,0.0,0.23792962719003144,0.16483307550386414,0.6980334276773613,0.5806288485694534,1.0,,1.8127454785602408,4.095817493029227,4.999995231628418,0.9960762643581226,3.114684786036819,-2.383044611957554,2.495663700486549
linearpositive-span10-drop00,linear-positive,10.0,0.0,0.0,0.0,1.056811236252086,0.634412483743383,3.306880385978125,3.1748571187664867,0.7220130092434098,207.89980173110962,3.8245156336574504,6.826263485388041,2.0999979972839355,0.9971871304978727,6.826263485388041,-4.766089223915108,4.991327400973098
linearpositive-span20-drop00,linear-positive,20.0,0.0,0.0,0.0,282.33737432214247,112.22383412190932,1175.2712510423432,1175.2712510423432,0.6446422458062308,99.19990539550781,8.928497780169279,16.42721870002954,0.7999992370605469,0.9507149941768294,16.42721870002954,-9.532178447830216,9.982654801946197
linearnegative-span05-drop00,linear-negative,5.0,0.0,0.0,0.0,0.20733549585860653,0.15521664442236996,0.5277508963195953,0.4622961095549733,1.0,,1.8358479726533286,4.023021786616667,3.099997043609619,0.9969574900887062,3.14207039243451,-2.495663700486549,2.383044611957554
linearnegative-span10-drop00,linear-negative,10.0,0.0,0.0,0.0,45.400666577666435,18.70126878920606,166.27620367257612,166.27620367257612,0.7233824032865457,208.19980144500732,4.0138147781833675,7.488622641055251,1.8999981880187988,0.9720375421119927,7.488622641055251,-4.991327400973098,4.766089223915108
linearnegative-span20-drop00,linear-negative,20.0,0.0,0.0,0.0,386.2222002259348,152.53344817077615,1621.5958404051196,1621.5958404051196,0.6508045190003423,188.9998197555542,8.917996311597186,16.418126486561818,1.8999981880187988,0.945432613865449,16.418126486561818,-9.982654801946197,9.532178447830216
sinusoidalslow-span05-drop00,sinusoidal-slow,5.0,0.0,0.0,0.0,0.2022996672276908,0.15317800088489328,0.4919711356154693,0.4643561432065812,1.0,,1.8795870584635916,4.086341642238583,4.999995231628418,0.6601459847072597,0.1575660977234023,-2.4999989014052137,2.4999998779677948
sinusoidalslow-span10-drop00,sinusoidal-slow,10.0,0.0,0.0,0.0,0.4967891406443273,0.35515414929036987,1.1214668360765212,1.0209945552191144,0.984251968503937,,3.967869861275644,6.910383499065465,4.999995231628418,0.6021979096743684,1.2149775349305334,-4.9999978028104275,4.9999997559355895
sinusoidalslow-span20-drop00,sinusoidal-slow,20.0,0.0,0.0,0.0,126.53841878467715,51.606177275809586,522.1746740218169,522.1746740218169,0.6086956521739131,174.89983320236206,8.651842437849808,14.811420265038146,4.999995231628418,0.02839780048151336,4.862972615529954,-9.999995605620855,9.999999511871179
piecewiserandomwalk-span05-drop00,piecewise-random-walk,5.0,0.0,0.0,0.0,0.25442402672264147,0.18283561476208682,0.6239654245051628,0.5423987555356555,1.0,,1.9628156606185168,4.025617383428734,4.999995231628418,0.961021069877589,2.4087042388643245,-2.498968975014406,2.3617984036872834
piecewiserandomwalk-span10-drop00,piecewise-random-walk,10.0,0.0,0.0,0.0,239.47373626177787,94.95116576330916,1003.0033380541656,1003.0033380541656,0.71858952413557,206.49980306625366,4.305282397252135,7.36761402439709,1.8999981880187988,0.9614620066781705,6.1585255527484595,-4.997937950028812,4.723596807374567
piecewiserandomwalk-span20-drop00,piecewise-random-walk,20.0,0.0,0.0,0.0,284.3186059230511,113.14040622151636,1173.8236011955073,1173.8236011955073,0.6104073947278329,175.29983282089233,9.450441416041638,16.174766944754726,0.4999995231628418,0.8909950765317619,13.756590142464248,-9.995875900057625,9.447193614749134
linearpositive-span05-drop10,linear-positive,5.0,0.0,0.1,0.09619993153029785,0.2285475465922097,0.1585046700848617,0.6991965765681915,0.5921751308586405,1.0,,1.8383630421787294,8.365627677088737,4.999995231628418,0.9946122642214759,3.1311454394824993,-2.383044611957554,2.495663700486549
linearpositive-span10-drop10,linear-positive,10.0,0.0,0.1,0.09619993153029785,128.67976863199527,51.02105721079372,539.3512450492235,539.3512450492235,0.7203012666894899,207.2998023033142,4.055521916239712,8.741073194358794,1.8999981880187988,0.9741867633818282,7.554615100848396,-4.766089223915108,4.991327400973098
linearpositive-span20-drop10,linear-positive,20.0,0.0,0.1,0.09619993153029785,340.4461663368881,135.1349353354698,1425.0481571613304,1425.0481571613304,0.6312906538856556,99.99990463256836,9.07954185707044,16.65037587439887,4.999995231628418,0.9466648783172898,16.65037587439887,-9.532178447830216,9.982654801946197
linearnegative-span05-drop10,linear-negative,5.0,0.0,0.1,0.09619993153029785,0.34589651736882754,0.24812638283733096,1.3933426574063272,1.1422988161367535,0.9821978774392331,280.19973278045654,1.8461397795991714,5.1044645371264155,4.499995708465576,0.9968665268745129,3.1479059530619864,-2.495663700486549,2.383044611957554
linearnegative-span10-drop10,linear-negative,10.0,0.0,0.1,0.09619993153029785,132.0099104797657,52.27724717836664,551.6788062929334,551.6788062929334,0.719274221157138,207.09980249404907,4.08463019870528,7.586157873132818,1.8999981880187988,0.9736788052914646,7.586157873132818,-4.991327400973098,4.766089223915108
linearnegative-span20-drop10,linear-negative,20.0,0.0,0.1,0.09619993153029785,374.878827310125,148.61125786132456,1569.4095222708436,1569.4095222708436,0.5583704210886683,151.0998558998108,9.090452341577837,16.666606267816643,4.999995231628418,0.9415494589994788,16.666606267816643,-9.982654801946197,9.532178447830216
sinusoidalslow-span05-drop10,sinusoidal-slow,5.0,0.0,0.1,0.09619993153029785,0.25762937394753666,0.18444782072690136,0.6442105182882245,0.6106862374198133,1.0,,1.8916235836431854,8.019866137384614,4.999995231628418,0.6569554188947324,0.13551348858372272,-2.4999989014052137,2.4999998779677948
sinusoidalslow-span10-drop10,sinusoidal-slow,10.0,0.0,0.1,0.09619993153029785,0.5185798983537127,0.36494403652590823,1.427933162896235,1.2781351502817289,0.9479630263608353,217.19979286193848,4.010726495521149,6.954338807944422,4.999995231628418,0.5916544637784558,1.2959364218929657,-4.9999978028104275,4.9999997559355895
sinusoidalslow-span20-drop10,sinusoidal-slow,20.0,0.0,0.1,0.09619993153029785,183.80907948245206,73.56511358623506,769.14197756733,769.14197756733,0.6408764121876069,185.4998230934143,8.68296335911576,14.868260539477221,4.999995231628418,0.024394090118191374,4.922756210965469,-9.999995605620855,9.999999511871179
