profile,drift_span_ms,global_rmse_dropout_minus_clean_m,global_rmse_dropout_to_clean_ratio,local_rmse_dropout_minus_clean_m,tracking_rmse_dropout_minus_clean_ms,clean_cell_supported,dropout_cell_supported
linear-positive,5.0,-0.009382080597821751,0.9605678338228623,0.011546282289187082,0.025617563618488548,True,True
linear-positive,10.0,127.62295739574319,121.76230174117934,536.176387930457,0.23100628258226186,True,True
linear-positive,20.0,58.10879201474563,1.2058133187441362,249.7769061189872,0.15104407690116162,True,True
linear-negative,5.0,0.138561021510221,1.6682937764053358,0.6800027065817802,0.010291806945842863,True,True
linear-negative,10.0,86.60924390209925,2.907664588006384,385.40260262035724,0.07081542052191292,True,True
linear-negative,20.0,-11.343372915809766,0.9706299303634695,-52.18631813427601,0.17245602998065124,True,True
sinusoidal-slow,5.0,0.055329706719845856,1.2735036961656074,0.14633009421323212,0.012036525179593749,True,True
sinusoidal-slow,10.0,0.021790757709385378,1.0438631925028055,0.25714059506261444,0.042856634245504566,True,True
sinusoidal-slow,20.0,57.270660697774915,1.4525950398924217,246.967303545513,0.031120921265952006,True,True
piecewise-random-walk,5.0,0.1699461280675139,1.667964147320015,0.6202512515747833,0.0017239931230708105,True,True
piecewise-random-walk,10.0,-9.968399405475651,0.9583737258161003,-37.775698303714876,0.044919070826031415,True,True
piecewise-random-walk,20.0,-27.118548421201183,0.9046191566212848,-113.73867580936485,0.08898709503068858,True,True
