scenario_id,profile,drift_span_ms,dropout_fraction,position_rmse_m,global_additive_m,global_ratio,static_envelope_global_m,global_minus_static_envelope_m,global_exceeds_static_envelope,local_max_rmse_m,local_additive_m,local_ratio,static_envelope_local_m,local_minus_static_envelope_m,local_exceeds_static_envelope,tracking_rmse_ms,tracking_peak_abs_ms,tracking_lag_s,global_supported,local_supported,tracking_supported,supported_metric_group_count,dynamic_cell_supported,final_abs_residual_ms,one_metre_availability,sustained_failure_onset_s,early_warning_gap
linearpositive-span05-drop00,linear-positive,5.0,0.0,0.23792962719003144,0.19251898291844483,5.239512255475833,0.047967203104422686,0.18996242408560876,True,0.5806288485694534,0.47863893015560377,5.6930023829748215,0.10900421426512093,0.4716246343043325,True,1.8127454785602408,4.095817493029227,4.999995231628418,True,True,True,3,True,3.114684786036819,1.0,,False
linearpositive-span10-drop00,linear-positive,10.0,0.0,1.056811236252086,1.0114005919804994,23.27232421393615,0.047967203104422686,1.0088440331476634,True,3.1748571187664867,3.072867200352637,31.129126958251987,0.10900421426512093,3.065852904501366,True,3.8245156336574504,6.826263485388041,2.0999979972839355,True,True,True,3,True,6.826263485388041,0.7220130092434098,207.89980173110962,False
linearpositive-span20-drop00,linear-positive,20.0,0.0,282.33737432214247,282.29196367787085,6217.427188074507,0.047967203104422686,282.28940711903806,True,1175.2712510423432,1175.1692611239293,11523.40612994106,0.10900421426512093,1175.1622468280782,True,8.928497780169279,16.42721870002954,0.7999992370605469,True,True,True,3,True,16.42721870002954,0.6446422458062308,99.19990539550781,False
linearnegative-span05-drop00,linear-negative,5.0,0.0,0.20733549585860653,0.1619248515870199,4.565790668341963,0.047967203104422686,0.15936829275418385,True,0.4622961095549733,0.3603061911411237,4.532762813664496,0.10900421426512093,0.3532918952898524,True,1.8358479726533286,4.023021786616667,3.099997043609619,True,True,True,3,True,3.14207039243451,1.0,,False
linearnegative-span10-drop00,linear-negative,10.0,0.0,45.400666577666435,45.35525593339485,999.7802785210336,0.047967203104422686,45.352699374562015,True,166.27620367257612,166.17421375416225,1630.3199988636998,0.10900421426512093,166.167199458311,True,4.0138147781833675,7.488622641055251,1.8999981880187988,True,True,True,3,True,7.488622641055251,0.7233824032865457,208.19980144500732,False
linearnegative-span20-drop00,linear-negative,20.0,0.0,386.2222002259348,386.1767895816632,8505.102854653696,0.047967203104422686,386.1742330228304,True,1621.5958404051196,1621.4938504867057,15899.569934207506,0.10900421426512093,1621.4868361908545,True,8.917996311597186,16.418126486561818,1.8999981880187988,True,True,True,3,True,16.418126486561818,0.6508045190003423,188.9998197555542,False
sinusoidalslow-span05-drop00,sinusoidal-slow,5.0,0.0,0.2022996672276908,0.15688902295610418,4.4548953328607475,0.047967203104422686,0.15433246412326812,True,0.4643561432065812,0.3623662247927316,4.552961218405333,0.10900421426512093,0.3553519289414603,True,1.8795870584635916,4.086341642238583,4.999995231628418,True,True,True,3,True,0.1575660977234023,1.0,,True
sinusoidalslow-span10-drop00,sinusoidal-slow,10.0,0.0,0.4967891406443273,0.4513784963727407,10.939927160539488,0.047967203104422686,0.44882193753990457,True,1.0209945552191144,0.9190046368052648,10.01073999369402,0.10900421426512093,0.9119903409539935,True,3.967869861275644,6.910383499065465,4.999995231628418,True,True,True,3,True,1.2149775349305334,0.984251968503937,,False
sinusoidalslow-span20-drop00,sinusoidal-slow,20.0,0.0,126.53841878467715,126.49300814040556,2786.536522756452,0.047967203104422686,126.49045158157273,True,522.1746740218169,522.072684103403,5119.865592037858,0.10900421426512093,522.0656698075518,True,8.651842437849808,14.811420265038146,4.999995231628418,True,True,True,3,True,4.862972615529954,0.6086956521739131,174.89983320236206,False
piecewiserandomwalk-span05-drop00,piecewise-random-walk,5.0,0.0,0.25442402672264147,0.20901338245105486,5.602739859866607,0.047967203104422686,0.2064568236182188,True,0.5423987555356555,0.4404088371218059,5.318160500283341,0.10900421426512093,0.4333945412705346,True,1.9628156606185168,4.025617383428734,4.999995231628418,True,True,True,3,True,2.4087042388643245,1.0,,False
piecewiserandomwalk-span10-drop00,piecewise-random-walk,10.0,0.0,239.47373626177787,239.4283256175063,5273.5154962691495,0.047967203104422686,239.42576905867344,True,1003.0033380541656,1002.9013481357517,9834.338076281507,0.10900421426512093,1002.8943338399005,True,4.305282397252135,7.36761402439709,1.8999981880187988,True,True,True,3,True,6.1585255527484595,0.71858952413557,206.49980306625366,False
piecewiserandomwalk-span20-drop00,piecewise-random-walk,20.0,0.0,284.3186059230511,284.2731952787795,6261.056421543637,0.047967203104422686,284.2706387199467,True,1173.8236011955073,1173.7216112770934,11509.212081457154,0.10900421426512093,1173.7145969812423,True,9.450441416041638,16.174766944754726,0.4999995231628418,True,True,True,3,True,13.756590142464248,0.6104073947278329,175.29983282089233,False
linearpositive-span05-drop10,linear-positive,5.0,0.1,0.2285475465922097,0.16419375638408673,3.55142324722564,0.09868195899600413,0.12986558759620556,True,0.5921751308586405,0.4957064302831221,6.138520860401446,0.14552906749670838,0.44664606336193213,True,1.8383630421787294,8.365627677088737,4.999995231628418,True,True,True,3,True,3.1311454394824993,1.0,,False
linearpositive-span10-drop10,linear-positive,10.0,0.1,128.67976863199527,128.61541484178716,1999.5678298953221,0.09868195899600413,128.58108667299928,True,539.3512450492235,539.254776348648,5590.9454759059845,0.14552906749670838,539.2057159817268,True,4.055521916239712,8.741073194358794,1.8999981880187988,True,True,True,3,True,7.554615100848396,0.7203012666894899,207.2998023033142,False
linearpositive-span20-drop10,linear-positive,20.0,0.1,340.4461663368881,340.38181254667995,5290.227121601856,0.09868195899600413,340.3474843778921,True,1425.0481571613304,1424.951688460755,14772.129702791666,0.14552906749670838,1424.9026280938338,True,9.07954185707044,16.65037587439887,4.999995231628418,True,True,True,3,True,16.65037587439887,0.6312906538856556,99.99990463256836,False
linearnegative-span05-drop10,linear-negative,5.0,0.1,0.34589651736882754,0.28154272716070455,5.374920672895614,0.09868195899600413,0.2472145583728234,True,1.1422988161367535,1.0458301155612353,11.841134060290678,0.14552906749670838,0.9967697486400452,True,1.8461397795991714,5.1044645371264155,4.499995708465576,True,True,True,3,True,3.1479059530619864,0.9821978774392331,280.19973278045654,False
linearnegative-span10-drop10,linear-negative,10.0,0.1,132.0099104797657,131.94555668955758,2051.3152380433207,0.09868195899600413,131.9112285207697,True,551.6788062929334,551.5823375923578,5718.7336721827605,0.14552906749670838,551.5332772254367,True,4.08463019870528,7.586157873132818,1.8999981880187988,True,True,True,3,True,7.586157873132818,0.719274221157138,207.09980249404907,False
linearnegative-span20-drop10,linear-negative,20.0,0.1,374.878827310125,374.8144735199169,5825.27969367073,0.09868195899600413,374.780145351129,True,1569.4095222708436,1569.313053570268,16268.587768965192,0.14552906749670838,1569.263993203347,True,9.090452341577837,16.666606267816643,4.999995231628418,True,True,True,3,True,16.666606267816643,0.5583704210886683,151.0998558998108,False
sinusoidalslow-span05-drop10,sinusoidal-slow,5.0,0.1,0.25762937394753666,0.19327558373941367,4.003328679077829,0.09868195899600413,0.15894741495153253,True,0.6106862374198133,0.5142175368442949,6.330408036767855,0.14552906749670838,0.46515716992310496,True,1.8916235836431854,8.019866137384614,4.999995231628418,True,True,True,3,True,0.13551348858372272,1.0,,True
sinusoidalslow-span10-drop10,sinusoidal-slow,10.0,0.1,0.5185798983537127,0.45422610814558967,8.058265048206215,0.09868195899600413,0.4198979393577085,True,1.2781351502817289,1.1816664497062104,13.249221173878768,0.14552906749670838,1.1326060827850204,True,4.010726495521149,6.954338807944422,4.999995231628418,True,True,True,3,True,1.2959364218929657,0.9479630263608353,217.19979286193848,False
sinusoidalslow-span20-drop10,sinusoidal-slow,20.0,0.1,183.80907948245206,183.74472569224395,2856.2277200457884,0.09868195899600413,183.71039752345607,True,769.14197756733,769.0455088667544,7972.969190822927,0.14552906749670838,768.9964484998333,True,8.68296335911576,14.868260539477221,4.999995231628418,True,True,True,3,True,4.922756210965469,0.6408764121876069,185.4998230934143,False
piecewiserandomwalk-span05-drop10,piecewise-random-walk,5.0,0.1,0.4243701547901554,0.3600163645820324,6.5943303948022916,0.09868195899600413,0.32568819579415126,True,1.1626500071104389,1.0661813065349204,12.052095655629612,0.14552906749670838,1.0171209396137304,True,1.9645396537415876,5.10954407224934,4.999995231628418,True,True,True,3,True,2.4027742412360986,0.9825402259500171,279.399733543396,False
piecewiserandomwalk-span10-drop10,piecewise-random-walk,10.0,0.1,229.50533685630222,229.4409830660941,3566.306446194885,0.09868195899600413,229.40665489730623,True,965.2276397504507,965.1311710498752,10005.60424253713,0.14552906749670838,965.0821106829541,True,4.350201468078167,7.432903059261942,4.999995231628418,True,True,True,3,True,6.2238145928867405,0.7155083875385142,205.79980373382568,False
piecewiserandomwalk-span20-drop10,piecewise-random-walk,20.0,0.1,257.2000575018499,257.1357037116418,3996.657487772728,0.09868195899600413,257.10137554285393,True,1060.0849253861425,1059.988456685567,10988.900224236757,0.14552906749670838,1059.9393963186458,True,9.539428511072327,16.309080690431514,1.8999981880187988,True,True,True,3,True,13.890903757681114,0.6008216364258816,174.99983310699463,False
