scenario,mode,burst_start_s,burst_duration_s,sample_count,degraded_frames,dropped_observations,overall_rmse_m,overall_max_m,pre_window_rmse_m,outage_rmse_m,post_window_rmse_m,local_window_rmse_m,baseline_local_window_rmse_m,local_window_rmse_ratio,local_window_peak_m,baseline_local_window_peak_m,local_window_peak_ratio,peak_excess_error_m,integrated_positive_excess_m_s,recovery_time_s,recovered_within_horizon
baseline,baseline,0,0,2921,0,0,0.0454106442716,0.107145187588,0.0454106442716,0.0454106442716,0.0454106442716,0.0454106442716,0.0454106442716,1,0.107145187588,0.107145187588,1,0,0,0,True
burst-t030-d1,burst-frame-drop,30,1,2921,10,5000,0.0600541171502,0.135785480565,0.0138977837784,0.0173650740087,0.0217047610928,0.0213467313578,0.0100758914428,2.11859481407,0.0285644338691,0.0178063870239,1.60416786576,0.0212250343166,0.366245102183,,False
burst-t030-d3,burst-frame-drop,30,3,2921,30,15000,0.0454147987408,0.0926629213014,0.0138977837784,0.0265479486412,0.0338153630086,0.0322837998016,0.0105301652741,3.06583980034,0.0855602616852,0.0178063870239,4.80503212529,0.0811737399211,0.646356776924,,False
burst-t090-d1,burst-frame-drop,90,1,2921,10,5000,0.0395650225214,0.0731788688604,0.0334353650337,0.038172752102,0.0383369441952,0.038322046711,0.0389974453161,0.982680952569,0.0542683014276,0.0489199018343,1.10932972865,0.0114545950954,0.052433547272,0.0999131202698,True
burst-t090-d3,burst-frame-drop,90,3,2921,30,15000,0.0425995059996,0.0798284210662,0.0334353650337,0.0337305545505,0.039528119782,0.0382682570465,0.037202942866,1.02863521266,0.0566877177789,0.0489199018343,1.15878641725,0.016383770954,0.132649628067,20.6998915672,True
burst-t150-d1,burst-frame-drop,150,1,2921,10,5000,0.0369804229608,0.0707885359467,0.0398704365558,0.0429318484715,0.0420231200657,0.0421065421539,0.044338750942,0.949655578005,0.0477410296375,0.0518003755756,0.921634816485,0.00266657771677,0.00732690132058,0.0998558998108,True
burst-t150-d3,burst-frame-drop,150,3,2921,30,15000,0.0409318283055,0.0952639018974,0.0398704365558,0.0439680034105,0.0404411816983,0.0412818154632,0.0438156871934,0.942169759452,0.0665543258621,0.0518003755756,1.28482323,0.0208307143677,0.0131547513162,0.699853420258,True
burst-t210-d1,burst-frame-drop,210,1,2921,10,5000,0.0425507540365,0.101661422416,0.0536879211766,0.0458759377618,0.0338971913053,0.0351552368392,0.0294175944432,1.19504118214,0.0485988068699,0.0459797975414,1.05696000132,0.0113326405369,0.0919074071069,13.8997855186,True
burst-t210-d3,burst-frame-drop,210,3,2921,30,14971,0.0417265856706,0.0922247513799,0.0536879211766,0.0416108334108,0.0371115452149,0.0381969111254,0.0291211334041,1.31165606075,0.0532899028081,0.0459797975414,1.1589851556,0.0219923023823,0.162907465673,12.7997846603,True
