scenario,injected_offset_ms,sample_count,duration_s,fixed_rmse_m,fixed_median_m,fixed_p90_m,fixed_p95_m,fixed_p99_m,fixed_max_m,fixed_max_time_s,fixed_final_error_m,fixed_first_1m_s,fixed_first_10m_s,fixed_first_100m_s,fixed_first_1000m_s,fixed_sustained_failure_onset_s,fixed_recovery_time_s,fixed_recovered_after_failure,fixed_availability_below_1m,fixed_post_onset_fraction_above_1m,fixed_top_1pct_squared_error_share,fixed_top_5pct_squared_error_share,fixed_broad_trajectory_failure,fixed_catastrophic_divergence,online_rmse_m,online_max_m,online_availability_below_1m,online_catastrophic_divergence
baseline,0,2921,291.999721527,0.0594382143044,0.0394841864557,0.115811331582,0.120856575169,0.136390471993,0.142769879488,237.599773407,0.117345670365,,,,,,,False,1,0,0.0566399800826,0.236813885785,False,False,0.0454115107474,0.107149449358,1,False
neg-50ms,-50,2921,291.999721527,78648.1170162,39973.4095493,144630.257961,165197.349261,183278.321075,187995.959102,291.999721527,187995.959102,2.59999752045,6.49999380112,14.8999857903,32.9999685287,1.89999818802,,False,0.00890106128038,0.997587870434,0.0572178316854,0.25352862878,True,True,0.236078860431,0.442850484284,1,False
neg-20ms,-20,2921,291.999721527,43239.3492117,16208.8698223,82276.4659118,93196.0090883,102422.80856,104777.925667,291.999721527,104777.925667,3.69999647141,12.1999883652,26.4999747276,56.3999462128,3.09999704361,,False,0.012666894899,0.997923875433,0.0589597280315,0.263743728255,True,True,0.0683863387927,0.126651053614,1,False
neg-10ms,-10,2921,291.999721527,3620.02182827,1891.60026679,5402.5770468,9203.72261737,12995.3938951,14036.080578,291.999721527,14036.080578,8.69999170303,16.3999843597,31.3999700546,73.8999295235,8.09999227524,,False,0.0297843204382,0.997887323944,0.143177282699,0.518571089751,True,True,0.032614702151,0.0678270445581,1,False
neg-5ms,-5,2921,291.999721527,6341.91878545,3830.24098879,11265.4742932,13768.5524831,16182.1601014,16835.8156417,291.999721527,16835.8156417,13.7999868393,18.9999818802,35.2999663353,78.2999253273,13.1999874115,,False,0.0472440944882,0.997848691287,0.0695918030767,0.29221531115,True,True,0.052267650768,0.112166765145,1,False
pos-5ms,5,2921,291.999721527,10174.1633928,4996.22506862,18878.4569962,22509.985646,25805.574159,26673.4380251,291.999721527,26673.4380251,14.1999864578,19.3999814987,35.3999662399,74.5999288559,13.6999869347,,False,0.0486134885313,0.998204022989,0.068311309256,0.29370580058,True,True,0.0506106861912,0.0998208745999,1,False
pos-10ms,10,2921,291.999721527,3212.57613929,1236.38053406,5744.11522008,5961.52205931,6044.02609416,6047.62433244,239.799771309,5936.15617046,10.5999898911,19.6999812126,35.1999664307,128.699877262,9.99999046326,,False,0.0362889421431,0.997873094647,0.0363812127061,0.176633888453,True,True,0.0479668990209,0.117288791413,1,False
pos-20ms,20,2921,291.999721527,73766.183858,33602.5094549,138269.569023,155216.284053,169451.920408,173048.905038,291.999721527,173048.905038,4.99999523163,9.39999103546,17.7999830246,36.199965477,4.49999570847,,False,0.0171174255392,0.99826147427,0.0553533349589,0.249222550949,True,True,0.0729591941284,0.14217442225,1,False
pos-50ms,50,2921,291.999721527,232422.804409,125902.089746,422812.389312,465615.670511,498082.314228,506181.948762,291.999721527,506181.948762,1.69999837875,3.9999961853,8.8999915123,20.2999806404,1.09999895096,,False,0.00581992468333,0.99793814433,0.0479058749808,0.2205917683,True,True,0.321499899852,0.608896390437,1,False
