physical_scenario_id,seed,offset_ms,dropout_fraction,repeat_count,purpose
s20260804-pos10-drop20,20260804,10.0,0.20,1,statistical-seed-replication
s20260804-pos20-drop05,20260804,20.0,0.05,1,statistical-seed-replication
s20260804-pos20-drop10,20260804,20.0,0.10,2,statistical-seed-replication-and-determinism-audit
s20260804-pos20-drop15,20260804,20.0,0.15,1,statistical-seed-replication
s20260804-pos20-drop20,20260804,20.0,0.20,1,statistical-seed-replication
s20260805-neg20-drop05,20260805,-20.0,0.05,1,statistical-seed-replication
s20260805-neg20-drop10,20260805,-20.0,0.10,1,statistical-seed-replication
s20260805-neg20-drop15,20260805,-20.0,0.15,1,statistical-seed-replication
s20260805-neg20-drop20,20260805,-20.0,0.20,1,statistical-seed-replication
s20260805-neg10-drop05,20260805,-10.0,0.05,1,statistical-seed-replication
s20260805-neg10-drop10,20260805,-10.0,0.10,1,statistical-seed-replication
s20260805-neg10-drop15,20260805,-10.0,0.15,1,statistical-seed-replication
s20260805-neg10-drop20,20260805,-10.0,0.20,1,statistical-seed-replication
s20260805-zero-drop05,20260805,0.0,0.05,1,statistical-seed-replication
s20260805-zero-drop10,20260805,0.0,0.10,1,statistical-seed-replication
s20260805-zero-drop15,20260805,0.0,0.15,1,statistical-seed-replication
s20260805-zero-drop20,20260805,0.0,0.20,1,statistical-seed-replication
s20260805-pos10-drop05,20260805,10.0,0.05,1,statistical-seed-replication
s20260805-pos10-drop10,20260805,10.0,0.10,1,statistical-seed-replication
s20260805-pos10-drop15,20260805,10.0,0.15,1,statistical-seed-replication
s20260805-pos10-drop20,20260805,10.0,0.20,1,statistical-seed-replication
s20260805-pos20-drop05,20260805,20.0,0.05,1,statistical-seed-replication
s20260805-pos20-drop10,20260805,20.0,0.10,2,statistical-seed-replication-and-determinism-audit
s20260805-pos20-drop15,20260805,20.0,0.15,1,statistical-seed-replication
s20260805-pos20-drop20,20260805,20.0,0.20,1,statistical-seed-replication
