offset_magnitude_ms,dropout_fraction,global_additive_pos_minus_neg_mean_m,global_additive_pos_minus_neg_ci95_lower_m,global_additive_pos_minus_neg_ci95_upper_m,local_additive_pos_minus_neg_mean_m,local_additive_pos_minus_neg_ci95_lower_m,local_additive_pos_minus_neg_ci95_upper_m,global_ratio_pos_minus_neg_mean,sign_asymmetry_supported
10,0.05,-0.013811310847,-0.0380051228366,0.0103825011425,-0.0405385305849,-0.0956733636599,0.0145963024902,-0.341977183446,False
10,0.1,-0.0336315866642,-0.0638752250275,-0.00338794830079,-0.0858053908391,-0.151765450659,-0.0198453310189,-0.675208246628,True
10,0.15,-0.00737001410365,-0.0171269972796,0.00238696907234,-0.0296114283052,-0.0739017365097,0.0146788798993,-0.375796184347,False
10,0.2,0.0124435620672,-0.0359179029936,0.060805027128,0.00584612947642,-0.100351305256,0.112043564209,-0.105546353327,False
20,0.05,0.00704895343885,-0.020325517748,0.0344234246257,-0.00349484156442,-0.0572187913166,0.0502291081878,0.0833008150374,False
20,0.1,-0.0139664068576,-0.041022219154,0.0130894054388,-0.0419671330412,-0.0918794036651,0.00794513758274,-0.103099873152,False
20,0.15,0.0179419432154,-0.00664488651666,0.0425287729474,0.0299907743711,-0.0247725594473,0.0847541081896,0.113010616153,False
20,0.2,0.0513167656684,0.00963950860112,0.0929940227357,0.0790890364362,0.00877496163282,0.14940311124,0.510347646938,True
