offset_ms,dropout_fraction,seed_support_count,replicated_supported,global_additive_mean_m,global_additive_sd_m,global_additive_ci95_lower_m,global_additive_ci95_upper_m,global_ratio_mean,global_ratio_sd,local_additive_mean_m,local_additive_sd_m,local_additive_ci95_lower_m,local_additive_ci95_upper_m,local_ratio_mean,local_ratio_sd,global_additive_positive_seed_count,local_additive_positive_seed_count
-20,0.05,0,False,-0.015687062446,0.0177383120388,-0.0377120858935,0.00633796100149,0.757578172775,0.1932156337,-5.05752071735e-05,0.037484653367,-0.0465939197782,0.0464927693638,1.03297283694,0.303068261624,1,2
-20,0.1,1,False,-0.00118309371372,0.0266925005902,-0.0343262107186,0.0319600232912,0.855146305403,0.272951443534,0.00820783783893,0.0583082716943,-0.0641914439214,0.0806071195993,1.04888460898,0.494405138868,1,2
-20,0.15,0,False,-0.00952992653613,0.0369698568285,-0.0554340667788,0.0363742137066,0.729768286217,0.236286855928,-0.035110133928,0.0730958147552,-0.125870575529,0.0556503076729,0.7523436283,0.276155259488,3,2
-20,0.2,0,False,0.00682616655785,0.0148990447929,-0.0116734409691,0.0253257740848,1.00057844524,0.159676172375,0.033518330988,0.0334115693801,-0.00796761183477,0.0750042738108,1.23177810388,0.221805584882,3,4
-10,0.05,2,False,0.00752178582464,0.00998402467405,-0.00487501817031,0.0199185898196,1.2660886642,0.226490555638,0.0316689501822,0.0218160413872,0.00458075700836,0.058757143356,1.52462013548,0.384179381736,4,5
-10,0.1,5,True,0.0212506151108,0.0145416585628,0.0031947611992,0.0393064690224,1.56354699799,0.319957182023,0.0527661109115,0.0194991283293,0.0285547452687,0.0769774765544,1.88045169904,0.34370567714,5,5
-10,0.15,5,True,0.0163216514447,0.00411720740591,0.0112094632357,0.0214338396538,1.43064330419,0.0470790306182,0.0420961383836,0.00166798667906,0.0400250593747,0.0441672173925,1.69382676041,0.0119263723583,5,5
-10,0.2,5,True,0.0170208795698,0.00531078731017,0.0104266661646,0.0236150929749,1.48421452682,0.134999231549,0.0503048232011,0.0110905328511,0.0365341078391,0.0640755385632,1.83451706838,0.176244494663,5,5
10,0.05,0,False,-0.0062895250224,0.0138054032852,-0.0234311972623,0.0108521472175,0.924111480756,0.215900929012,-0.0088695804027,0.036611110358,-0.0543282780685,0.0365891172631,1.02016587455,0.429080851357,2,2
10,0.1,1,False,-0.0123809715533,0.0311847237033,-0.0511019202696,0.0263399771629,0.88833875136,0.346309866972,-0.0330392799275,0.0661713373644,-0.115201847246,0.0491232873908,0.872632128252,0.388202739759,1,2
10,0.15,0,False,0.00895163734108,0.00667193140488,0.000667340317151,0.017235934365,1.05484711985,0.0645102573596,0.0124847100784,0.0352880449108,-0.0313311848543,0.0563006050111,1.00877101472,0.164734717754,5,2
10,0.2,3,False,0.0294644416369,0.0388329237208,-0.0187530016921,0.077681884966,1.37866817349,0.463555579762,0.0561509526775,0.0819651135786,-0.0456221779618,0.157924083317,1.37977927883,0.447867322878,4,4
20,0.05,0,False,-0.00863810900717,0.00929104064737,-0.0201744596849,0.00289824167052,0.840878987813,0.150371503758,-0.00354541677159,0.0214848132722,-0.0302223359198,0.0231315023767,1.04069693603,0.283801981047,1,2
20,0.1,1,False,-0.0151495005713,0.0415890283392,-0.0667890997804,0.0364900986378,0.752046432251,0.395495461337,-0.0337592952023,0.0797039152439,-0.132724777277,0.065206186872,0.854092023515,0.544852501138,1,1
20,0.15,0,False,0.00841201667925,0.0215058628317,-0.0182910389492,0.0351150723077,0.842778902369,0.146225880003,-0.00511935955684,0.0358654200957,-0.0496521604701,0.0394134413564,0.841811336426,0.120814793229,4,2
20,0.2,4,True,0.0581429322262,0.0384510086267,0.0103996991198,0.105886165333,1.51092609218,0.241549876902,0.112607367424,0.070353557231,0.025251888265,0.199962846583,1.70833215001,0.211987994962,5,5
