scenario_id,profile,drift_span_ms,dropout_fraction,label,alert_detected,alert_time_s,active_channels_at_alert,degradation_onset_s,lead_time_s,positive_lead_time,maximum_velocity_rms_ms_per_s,maximum_acceleration_rms_ms_per_s2,maximum_peak_to_peak_ms,parent_position_rmse_m,parent_local_max_rmse_m,parent_one_metre_availability,parent_final_abs_residual_ms
linearnegative-span05-drop00,linear-negative,5.0,0.0,dynamic-secondary,False,,,205.3998041152954,,False,32.478378593817474,586.6034558570791,6.399383236502379,0.20733549585860653,0.4622961095549733,1.0,3.14207039243451
linearnegative-span05-drop10,linear-negative,5.0,0.1,dynamic-secondary,False,,,205.59980392456055,,False,37.40416560645271,662.2707555918707,7.480825987012128,0.34589651736882754,1.1422988161367535,0.9821978774392331,3.1479059530619864
linearnegative-span10-drop00,linear-negative,10.0,0.0,dynamic-secondary,False,,,155.4998517036438,,False,41.83241075290341,714.975560892083,8.366474171681535,45.400666577666435,166.27620367257612,0.7233824032865457,7.488622641055251
linearnegative-span10-drop10,linear-negative,10.0,0.1,dynamic-secondary,False,,,145.6998610496521,,False,46.974362894750804,793.6948425202824,9.394863619301477,132.0099104797657,551.6788062929334,0.719274221157138,7.586157873132818
linearnegative-span20-drop00,linear-negative,20.0,0.0,dynamic-secondary,False,,,101.49990320205688,,False,59.88682218478627,941.3200004698555,11.977353014452412,386.2222002259348,1621.5958404051196,0.6508045190003423,16.418126486561818
linearnegative-span20-drop10,linear-negative,20.0,0.1,dynamic-secondary,False,,,101.79990291595459,,False,64.02569407061844,1002.1054771757937,12.805126602191683,374.878827310125,1569.4095222708436,0.5583704210886683,16.666606267816643
linearpositive-span05-drop00,linear-positive,5.0,0.0,dynamic-secondary,False,,,205.89980363845825,,False,17.483655507621783,275.2937506516368,4.338345511760709,0.23792962719003144,0.5806288485694534,1.0,3.114684786036819
linearpositive-span05-drop10,linear-positive,5.0,0.1,dynamic-secondary,False,,,210.4997992515564,,False,41.85627403834563,735.5169080841428,8.69659376812809,0.2285475465922097,0.5921751308586405,1.0,3.1311454394824993
linearpositive-span10-drop00,linear-positive,10.0,0.0,dynamic-secondary,False,,,180.29982805252075,,False,15.704315429788913,169.42743332951517,5.044941114608077,1.056811236252086,3.1748571187664867,0.7220130092434098,6.826263485388041
linearpositive-span10-drop10,linear-positive,10.0,0.1,dynamic-secondary,False,,,152.49985456466675,,False,38.60125258266334,662.6515963514287,9.049378060416336,128.67976863199527,539.3512450492235,0.7203012666894899,7.554615100848396
linearpositive-span20-drop00,linear-positive,20.0,0.0,dynamic-secondary,False,,,100.7999038696289,,False,26.842356169120766,226.78909092914404,9.853331003980818,282.33737432214247,1175.2712510423432,0.6446422458062308,16.42721870002954
linearpositive-span20-drop10,linear-positive,20.0,0.1,dynamic-secondary,False,,,101.29990339279175,,False,38.94440518602332,574.2298208524584,9.865531501879081,340.4461663368881,1425.0481571613304,0.6312906538856556,16.65037587439887
piecewiserandomwalk-span05-drop00,piecewise-random-walk,5.0,0.0,dynamic-secondary,False,,,203.59980583190918,,False,32.40118404998978,585.2502372001927,6.379518556537723,0.25442402672264147,0.5423987555356555,1.0,2.4087042388643245
piecewiserandomwalk-span05-drop10,piecewise-random-walk,5.0,0.1,dynamic-secondary,False,,,203.89980554580688,,False,37.317261815305805,661.1832348242639,7.46344524535833,0.4243701547901554,1.1626500071104389,0.9825402259500171,2.4027742412360986
piecewiserandomwalk-span10-drop00,piecewise-random-walk,10.0,0.0,dynamic-secondary,False,,,183.69982481002808,,False,41.657048635408465,712.6818931670796,8.331401781630216,239.47373626177787,1003.0033380541656,0.71858952413557,6.1585255527484595
piecewiserandomwalk-span10-drop10,piecewise-random-walk,10.0,0.1,dynamic-secondary,False,,,144.89986181259155,,False,46.823030800037245,791.7656721276504,9.36459722922307,229.50533685630222,965.2276397504507,0.7155083875385142,6.2238145928867405
piecewiserandomwalk-span20-drop00,piecewise-random-walk,20.0,0.0,dynamic-secondary,False,,,103.19990158081055,,False,59.55588700605423,936.9313311289419,11.91116604182688,284.3186059230511,1173.8236011955073,0.6104073947278329,13.756590142464248
