scenario,injected_offset_ms,sample_count,fixed_final_calibration_residual_ms,fixed_nominal_rmse_m,fixed_nominal_max_m,fixed_physical_rmse_m,fixed_physical_max_m,fixed_rmse_ratio_to_fixed_baseline,online_nominal_rmse_m,online_calibration_aware_rmse_m,online_final_calibration_residual_ms,online_convergence_time_s,online_calibration_rmse_reduction_m,online_calibration_rmse_reduction_fraction,online_to_fixed_rmse_ratio,parameter_residual_reduction_fraction
baseline,0,2921,0,0.0594382143044,0.142769879488,0.0594382143044,0.142769879488,1,0.0454106442716,0.0454115107474,-0.00413838456686,0.499999523163,0.014026703557,0.235987970385,0.764012029615,
neg-50ms,-50,2921,-50,78648.1170162,187995.959102,78648.1166581,187995.96003,1323191.11428,0.242167886007,0.236078860431,-0.0100355917359,1.99999809265,78647.8809373,0.99999699829,3.00171026832e-06,0.999799288165
neg-20ms,-20,2921,-20,43239.3492117,104777.925667,43239.351299,104777.925366,727467.164311,0.0715816979255,0.0683863387927,-0.00542454560411,0.499999523163,43239.2808254,0.999998418423,1.58157650472e-06,0.99972877272
neg-10ms,-10,2921,-10,3620.02182827,14036.080578,3620.02152991,14036.0807288,60903.946571,0.0336747390766,0.032614702151,-0.00515857610492,0.599999427795,3619.98921357,0.999990990468,9.0095319029e-06,0.99948414239
neg-5ms,-5,2921,-5,6341.91878545,16835.8156417,6341.91935322,16835.8156449,106697.666807,0.0528313033372,0.052267650768,-0.00408311533033,0.599999427795,6341.8665178,0.999991758385,8.24161464948e-06,0.999183376934
pos-5ms,5,2921,5,10174.1633928,26673.4380251,10174.1640097,26673.4380168,171172.090411,0.0509329116853,0.0506106861912,-0.00436758977827,0.499999523163,10174.1127821,0.999995025568,4.97443221987e-06,0.999126482044
pos-10ms,10,2921,10,3212.57613929,6047.62433244,3212.57448351,6047.63582538,54049.0015875,0.0489360010147,0.0479668990209,-0.00600926763214,0.499999523163,3212.52817239,0.999985069023,1.49309765562e-05,0.999399073237
pos-20ms,20,2921,20,73766.183858,173048.905038,73766.1842393,173048.9054,1241056.52771,0.0755978972293,0.0729591941284,-0.00745671269925,0.39999961853,73766.1108988,0.99999901094,9.89060167039e-07,0.999627164365
pos-50ms,50,2921,50,232422.804409,506181.948762,232422.808541,506181.948892,3910326.16187,0.326100123593,0.321499899852,-0.00612897148188,1.59999847412,232422.482909,0.999998616745,1.38325454195e-06,0.99987742057
